alvo,tag_alvo,pct_tag_alvo,tag_dependente_prevalente,pct_tag_dependente,amostra_termos,pct_amostra,sentenca_media_hdbscan
deus,PROPN,96.2%,VERB | ccomp,2.0%,"['tem', 'abençoe', 'colocou', 'levantando', 'pode', 'faz', 'fala', 'sabe', 'preparou', 'quer']",28.5%,"Eu creio que essa palavra, ela é muito atual aos nossos corações porque eu creio que Deus, ele chamando sua igreja, o seu povo, para um tempo de arrependimento, se nós declaramos que essa nação é majoritariamente cristã e temos visto tantas coisas contrárias à vontade do nosso Deus, eu creio que esse momento de nós estamos cada vez mais arrependidos perante o senhor e pedindo a ele que venha trazer tempos de refrigério, tem mistão, para Que Deus traga mais prova, para que ele fique mais firme do Senhor."
deus,PROPN,96.2%,PROPN | ROOT,2.0%,"['glória', 'deus', 'senhor', 'ó', 'amém', 'amor', 'jesus', 'nosso', 'música', 'tu']",79.1%,Glória a Deus.
deus,PROPN,96.2%,AUX | cop,1.8%,"['é', 'estava', 'ser', 'seja', 'foi', 'estou', 'está', 'somos', 'sou', 'sendo']",94.3%,"Agora, esse propósito de jejum e oração é para isso, Deus, nós nos rendemos a ti, nós declaramos que o senhor é o Deus dessa nação, que o senhor é o Deus do Brasil."
deus,PROPN,96.2%,NOUN | ROOT,1.7%,"['glória', 'palavra', 'amor', 'senhor', 'pai', 'nome', 'homens', 'povo', 'filha', 'vida']",54.0%,"Glória a Deus, glória a Deus."
deus,PROPN,96.2%,NOUN | conj,1.7%,"['glória', 'mulheres', 'poder', 'homens', 'família', 'paz', 'palavra', 'pessoas', 'milhares', 'pai']",45.6%,"Eu também passei por muita doutrinação, na escola, no ensino médio, na universidade, e graças a Deus não falo isso aqui para poder ficar me esnobando, não, mas graças a Deus hoje eu sou deputado, me voltado do Brasil e é porque eu não recuei nenhum milímetro daquilo que eu acreditava, nem para professor nem para ninguém, porque eu sei o que que essa galera sofre de pressão dentro de sala de aula."
deus,PROPN,96.2%,ADP | det,1.6%,"['a', 'ó']",100.0%,"Porque não foi também de um dia pro outro, mas então assim, graças a Deus, a gente tem, enfim, muito que aprender aí."
deus,PROPN,96.2%,ADV | case,1.6%,"['graças', 'diante', 'como']",100.0%,"Porque não foi também de um dia pro outro, mas então assim, graças a Deus, a gente tem, enfim, muito que aprender aí."
deus,PROPN,96.2%,NOUN | obl,1.5%,"['amor', 'vontade', 'palavra', 'presença', 'casa', 'coração', 'povo', 'nome', 'glória', 'relacionamento']",53.8%,"Eu creio que essa palavra, ela é muito atual aos nossos corações porque eu creio que Deus, ele chamando sua igreja, o seu povo, para um tempo de arrependimento, se nós declaramos que essa nação é majoritariamente cristã e temos visto tantas coisas contrárias à vontade do nosso Deus, eu creio que esse momento de nós estamos cada vez mais arrependidos perante o senhor e pedindo a ele que venha trazer tempos de refrigério, tem mistão, para Que Deus traga mais prova, para que ele fique mais firme do Senhor."
deus,PROPN,96.2%,ADV | advmod,1.3%,"['não', 'graças', 'agora', 'aqui', 'só', 'aí', 'também', 'assim', 'então', 'ali']",62.1%,"Que todo desânimo estava aí, toda falta de esperança seja jogada por terra, pai, para que a sua família seja uma família que seja, sabe Deus, uma família de apoio, para que ela deu sua esposa também seja fortalecida, sabe Deus, no teu espírito ao pai, para que ser essa meu Deus, Filhos a Deus, Filhos que sejam luz a Deus e venha só Deus também ser como auxílio também para o seu pai."
deus,PROPN,96.2%,PROPN | nsubj,1.3%,"['senhor', 'deus', 'glória', 'espírito', 'amor', 'filho', 'amém', 'música', 'jeová', 'boa']",78.2%,"Que todo desânimo estava aí, toda falta de esperança seja jogada por terra, pai, para que a sua família seja uma família que seja, sabe Deus, uma família de apoio, para que ela deu sua esposa também seja fortalecida, sabe Deus, no teu espírito ao pai, para que ser essa meu Deus, Filhos a Deus, Filhos que sejam luz a Deus e venha só Deus também ser como auxílio também para o seu pai."
deus,PROPN,96.2%,VERB | xcomp,1.1%,"['adorar', 'fazer', 'falar', 'colocar', 'mudar', 'suplicar', 'orar', 'agradecer', 'ter', 'agir']",36.2%,"Eh, hoje JB literalmente saiu da ministração e veio aqui, a gente aguardou um pouquinho até que ele pudesse aqui entrar e graças a Deus por tudo."
deus,PROPN,96.2%,PROPN | nmod,1.0%,"['poder', 'deus', 'jacó', 'jesus', 'reino', 'espírito', 'povo', 'amor', 'abraão', 'brasil']",57.9%,"Nos últimos dias sobrevirão tempos terríveis porque os homens com aparência de piedade, toda via negando o seu real poder, a faixa de importante desses também, o mesmo Deus do amor é o Deus da Ira."
deus,PROPN,96.2%,PROPN | conj,0.9%,"['deus', 'ó', 'senhor', 'pátria', 'aleluia', 'espírito', 'poder', 'jesus', 'glória', 'padre']",75.0%,"Deus, Espírito Santo, incomoda agora o coração dessa mulher a Deus, para que ela seja constrangida com o teu amor."
deus,PROPN,96.2%,CCONJ | cc,0.9%,"['e', 'mas', 'ou', 'ai']",100.0%,"Porque não foi também de um dia pro outro, mas então assim, graças a Deus, a gente tem, enfim, muito que aprender aí."
deus,PROPN,96.2%,VERB | acl,0.9%,"['pedindo', 'usado', 'falando', 'falar', 'ver', 'usada', 'escolhido', 'sabendo', 'obrigado', 'conhecido']",37.0%,"Então, diante das, das, eh injustiças, diante de tudo que tem tem acontecido, eu tenho orado e o senhor tem colocado no meu coração essa questão de o quanto que nós, a nossa geração, esses que Estão dispostos a fazer muita coisa, que querem levantar eh a a bandeira do Evangelho do Reino no Brasil, querem trazer transformação, quanto quão disposto, de verdade a gente tá para entrar nesse lugar de se humilhar diante de Deus, sabe quebrantar o coração."
deus,PROPN,96.2%,PROPN | appos,0.8%,"['ó', 'senhor', 'deus', 'música', 'aplausos', 'glória', 'poder', 'daniel', 'pai', 'pastor']",93.2%,"Que o Senhor possa usar, ó Deus, a nossa língua, pai, como uma espada, ó Deus, que venha penetrar no coração daqueles que não estão penetrando."
deus,PROPN,96.2%,NOUN | appos,0.7%,"['glória', 'pai', 'senhor', 'povo', 'vida', 'cara', 'pessoas', 'servo', 'presidente', 'autoridade']",53.5%,"Obrigado a todos pelo, pelas orações, pelo apoio, por aquilo que temos caminhado juntos e vamos continuar nesses 21 dias, povo de Deus, orando e crendo que o Brasil é de Jesus, onde o avião brasileiro no mundo existe uma ponta de avivamento para explodir, para honra e glória do Senhor Jesus."
deus,PROPN,96.2%,ADJ | amod,0.7%,"['mesmo', 'poderoso', 'forte', 'todo-poderoso', 'maravilhoso', 'querido', 'livre', 'primeiro', 'soberano', 'próxima']",59.4%,"Senhor da Justiça, do pecado e do teu reino, senhor meu pai, que a gente possa ter total compreensão que o senhor trará juízo para aqueles que não se arrependem, porque o Senhor é um Deus de, O senhor é um Deus santo, senhor é um Deus poderoso."
deus,PROPN,96.2%,VERB | parataxis,0.7%,"['abençoe', 'sabe', 'quero', 'tem', 'faça', 'vi', 'quer', 'pedimos', 'oro', 'vai']",47.7%,"Deus, eu quero agora apresentar diante de ti, em primeiro lugar, o Donald trump, grande peso sobre ele, ó Deus, que guerra espiritual que tá sendo travada, mas nós queremos declarar a Deus que o Senhor é senhor da terra."
deus,PROPN,96.2%,SCONJ | mark,0.7%,"['que', 'porque', 'se', 'de', 'pois', 'embora']",100.0%,"E aí é assim que a gente tem que fazer, porque senão a gente acaba não não tendo nenhum tipo de diferença para o mundo, porque o mundo, ele quer te ganhar na base do braço, né na base do argumento, e não estou dizendo também para isso ser motivo para você não estudar a bíblia, para você também não estudar, porque talvez Deus, talvez não vai chegar um momento que você vai ser colocado né a frente- e é bom ser um servo preparado com as palavras- né"
deus,PROPN,96.2%,PROPN | flat:name,0.7%,"['pai', 'deus', 'filho', 'santo', 'conosco', 'misericórdia', 'honra', 'jesus', 'forte', 'espírito']",49.2%,"Que a nossa boca profecia sobre Deus palavras, meu Deus, que venham do Senhor, que vem do alto, sabe, o pai."
deus,PROPN,96.2%,PRON | nsubj,0.6%,"['que', 'ele', 'eu', 'quem', 'esse', 'você', 'nós', 'aquilo', 'o', 'isso']",98.3%,"Existe pelo menos um bilhão de pessoas do mundo que acredita que Jesus, ele é Deus, que Ele veio, ele morreu, que ele deixou o espírito santo."
deus,PROPN,96.2%,NOUN | ccomp,0.6%,"['controle', 'mão', 'senhor', 'filho', 'instrumento', 'filhos', 'povo', 'glória', 'homem', 'palavra']",48.1%,"E falo de todo meu coração, analisando a doutrina bíblica, se nós entendemos uma arma que o inferno pode usar contra a Igreja para que ela não vê não vivos propósito de Deus e não veja ela sendo instrumento de Deus em sua nação, é roubado no meio da igreja esse poder de ressurreição e vida."
deus,PROPN,96.2%,PROPN | parataxis,0.5%,"['ó', 'deus', 'senhor', 'tomara']",100.0%,"Deus, eu quero agora apresentar diante de ti, em primeiro lugar, o Donald trump, grande peso sobre ele, ó Deus, que guerra espiritual que tá sendo travada, mas nós queremos declarar a Deus que o Senhor é senhor da terra."
deus,PROPN,96.2%,NOUN | parataxis,0.5%,"['glória', 'mais', 'filhos', 'missionários', 'filho', 'amor', 'realizações', 'questionamento', 'abraço', 'memória']",79.5%,"Amém, glória a Deus."
deus,PROPN,96.2%,ADJ | ROOT,0.5%,"['bom', 'comunista', 'perfeito', 'fortes', 'fiel', 'contigo', 'firmado', 'convosco', 'sentado', 'maior']",36.4%,"Como é que você vai realizar o maior sonho da vida dessa pessoa, ele é infiel a Deus, não pequeno falar."
deus,PROPN,96.2%,PROPN | dep,0.4%,"['ó', 'deus', 'poderoso', 'senhor', 'guerreiros']",100.0%,"Nós oramos, ó Deus, para que o teu Espírito Santo, ele possa encontrá-los, ó Deus, e fortalecê-los, que eles saiam Deus mais fortes D ó Deus, porque nós sabemos, ó Pai, que, assim como Paulo diz, por algum tempo é necessário que estejamos entristecidos, tristes, para que o nosso espírito se fortaleça."
deus,PROPN,96.2%,VERB | csubj,0.3%,"['tem', 'lembrar', 'pedimos', 'quiser', 'adorar', 'agradar', 'olha', 'recusar', 'dá', 'trata']",46.9%,E é muito estranho a esquerda utilizar deus como uma fonte de padrão de certo porque eles mesmo não acreditam né e nada principalmente da bíblia e detona o cristo em todo o possibilidade toda é oportunidade que ele tiver.
deus,PROPN,96.2%,PROPN | advmod,0.3%,['ó'],100.0%,"ó Deus, para que o Senhor, ó Deus, possa trazer, ó Deus, alívio, a paz que excede todo entendimento, de que, ó Deus, a nossa vida não é aqui, de que um dia nós estaremos, ó Deus, eternamente com o Senhor, sem lágrimas."
deus,PROPN,96.2%,NOUN | acl:relcl,0.3%,"['propósito', 'cura', 'dado', 'descida', 'blinde', 'guerra', 'canto', 'escrivaninha', 'controle', 'profeta']",50.0%,"Deus, eu quero agora apresentar diante de ti, em primeiro lugar, o Donald trump, grande peso sobre ele, ó Deus, que guerra espiritual que tá sendo travada, mas nós queremos declarar a Deus que o Senhor é senhor da terra."
deus,PROPN,96.2%,ADJ | acl:relcl,0.2%,"['bom', 'poderoso', 'comparável', 'soberano', 'onipotente', 'boa', 'penetrante', 'maior', 'santo', 'amoroso']",65.2%,"Que é você que nasce, manifeste, é o teu pai, nosso Deus, é o teu tempo a Deus e nos declarando libertação para orar em nome do Senhor Jesus, Vamos aplaudir o nosso Deus que é soberano."
deus,PROPN,96.2%,PROPN | obj,0.2%,"['deus', 'música', 'glória', 'assembleia', 'whatsapp', 'ira', 'constrangelo', 'um', 'milar', 'soberania']",86.4%,"Sabe Deus que bateu um pai, que machucou o Senhor Deus apresento agora o nosso pai que nos chama como filhos."
deus,PROPN,96.2%,PRON | flat:name,0.2%,"['ele', 'nela', 'que', 'nós', 'eu', 'ela', 'algo', 'o', 'isso']",100.0%,"Porque nós estamos aqui direcionando nossas orações a Deus, pedindo para que Deus ele, ele faça algo pela nossa nação."
deus,PROPN,96.2%,SCONJ | case,0.2%,"['para', 'de', 'como', 'se', 'que']",100.0%,"Por isso que eu fiz questão de estar aqui com você, Nicolas, porque com o seu pai, com a sua família, que eu pude perceber claramente como Deus está movendo esse tempo pra gente compreender, eu posso dizer assim, uma convocação para Deus tá passando como General dos Generais, senhor dos exércitos, em revista a tropa dele, porque a gente vai, vai entrar na Terra Prometida."
deus,PROPN,96.2%,INTJ | ROOT,0.2%,"['ó', 'tu', 'senhor', 'ô', 'né', 'ah', 'olha']",100.0%,"Ó Deus, dessa live para que o Pai, o Senhor Deus, venha nos transformar a Deus, para que o Senhor venha trazer nossos corações."
deus,PROPN,96.2%,ADJ | conj,0.2%,"['poderosas', 'grato', 'adolescente', 'imutável', 'exclusivo', 'absoluto', 'sincero', 'contigo', 'verdadeiro', 'gratos']",68.4%,"Generoso, né no sentido de entregar o seu coração, porque Enquanto muitos se preocupam pela parte financeira, a parte de fama, status, outros já vê por um lado, realmente de propósito, né- e eu vejo que vocês têm isso exatamente- se a gente entendeu né a nossa missão nessa terra e somos muito gratos a Deus por termos aberto os nossos olhos iguais e ouvindo tudo que vocês estavam falando, né me vê aqui um pensamento sobre esse aparente fracasso."
deus,PROPN,96.2%,NOUN | dep,0.2%,"['palavra', 'amor', 'tempo', 'olhos', 'aó', 'mão', 'homem', 'presença', 'vida', 'comprometimento']",77.8%,"Se você olhar a Bíblia, a palavra de Deus, e aí vou chegar aqui para nós, quando o apóstolo Paulo vai falar da oração em Primeira Timóteo, no capítulo 2, o apóstolo Paulo diz uma coisa que muitos de nós não observamos:"
deus,PROPN,96.2%,ADJ | flat:name,0.2%,"['vivo', 'eterno', 'mesmo', 'profético', 'altíssimo', 'cídio', 'supletivo', 'família']",100.0%,"Qua Nicolas, quero muito desejar você, que você seja esse homem, esse, esse profético, esse garoto, esse rapaz, esse, esse, esse servo de Deus profético, que entenda a voz do senhor todo tempo, para que possa juntar essa geração, trazer mais jovens para jejuar e orar, porque essa é uma característica que não é de todo mundo."
deus,PROPN,96.2%,PROPN | obl,0.2%,"['assembleia', 'senhor', 'glória', 'oi', 'cordeiro', 'ungidos', 'emanuel', 'daniel', 'deus', 'espírito']",94.1%,"Então, para que Opa, para que, Oi meu Deus, perdão, para que isto aqui aconteça, nós precisamos na Educação Infantil, Infantil não é reunir aquele conjunto de fios que dizem respeito à linguagem oral, conhecimento de letras e tantas outras habilidades precursoras da, da alfabetização."
deus,PROPN,96.2%,PROPN | punct,0.2%,"['ó', 'né', 'oh']",100.0%,"Nós estamos aqui, ó Deus, declarando, ó Deus, que nós não iremos contra eles com carros, ó Deus, e cavalos, mas nós iremos, ó Deus, contra eles com o nome daquele que é o Senhor dos Exércitos."
deus,PROPN,96.2%,NOUN | xcomp,0.2%,"['povo', 'presença', 'filho', 'agentes', 'instrumento', 'amigo', 'pedido', 'mediador', 'lealdade', 'homem']",70.6%,"E engraçado que hoje à tarde, na verdade chegando em casa agora no final da tarde, eu liguei para um amigo meu e falava para ele que o que eu tenho mais orado, que eu tenho mais pedido a Deus, o que eu tenho mais realmente clamado ao senhor é pela nossa nação, pelo nosso Brasil, pelo nosso povo em todos os sentidos."
deus,PROPN,96.2%,NOUN | flat:name,0.2%,"['livraria', 'pai', 'liberdade', 'protetores', 'herói', 'padrão', 'brinde', 'justiça', 'campanha', 'recorde']",76.5%,"A Deus, eu oro, Pai, agora em nome de Jesus para cada família desse país que venha ter o Deus reconciliação."
deus,PROPN,96.2%,DET | ROOT,0.2%,"['meu', 'uma']",100.0%,"Meu Deus, Nicolas, que fala pesada."
deus,PROPN,96.2%,NOUN | obl:agent,0.2%,"['presença', 'graça', 'amor', 'senhor', 'glória', 'bondade', 'necessidade', 'filho', 'nome']",100.0%,E a gente precisa entender que hoje é o dia de alcançar o olhar da misericórdia e ser alcançado pela graça de Deus mais uma vez.
deus,PROPN,96.2%,ADJ | ccomp,0.2%,"['bom', 'real', 'conosco', 'especialista', 'santo', 'interessado', 'suficiente', 'distante', 'petista', 'lindo']",80.0%,"Então não é somente uma questão Emílio, dia sim o cara ver o que o dele, quando ele crescer ele deixa de ser, ele para com essa besteira, não não tudo que a gente tem um monte de gente aí, velho que defende a esquerda, que é progressista, que eu acho que ele te levara herói, que acha que Deus de gênero, algo lindo, então, assim como pagar darf, pois seu nome era ainda, usava a camisa do Sabá boina do Che Guevara, legal, e apresentar uma semana, eu saber aquela palavra:"
deus,PROPN,96.2%,PRON | nmod,0.1%,"['tudo', 'os', 'nós', 'isso', 'seu', 'deles', 'aquilo', 'eles', 'aqueles']",100.0%,"Hoje, dia extremamente corrido, mas graças a Deus por tudo, amanhã é mais corrido ainda, enfim."
deus,PROPN,96.2%,PRON | det,0.1%,"['tudo', 'o', 'quanto', 'nada', 'os', 'que', 'me', 'vários']",100.0%,"Então, olha gente, tudo isso Deus tem para nós quando falam para você que, ah, a Bíblia é machista, o senhor né, esse Deus aí dos crentes, ele quer que as mulheres né só só abaixem a cabeça e digam sim ou não, Sim, Amém."
deus,PROPN,96.2%,DET | nsubj,0.1%,"['meu', 'teu', 'aquele']",100.0%,"Meu Deus, olha o que que esse jogador fez, meu Deus, que que tal pessoa tá alcançando meu irmão."
deus,PROPN,96.2%,NOUN | advcl,0.1%,"['tu', 'poder', 'coração', 'olho', 'convívio', 'brinde', 'vontade', 'jeito', 'mediador', 'misericórdia']",91.7%,"Então reconheça o senhorinho de Cristo, você que está acompanhando a gente aqui na live, porque Jesus é o único mediador entre Deus e os homens."
deus,PROPN,96.2%,ADV | ROOT,0.1%,"['bem', 'demais', 'aí', 'ali', 'aqui', 'então', 'através', 'acima']",100.0%,"Bom demais, graças a Deus."
deus,PROPN,96.2%,PRON | conj,0.1%,"['você', 'ele', 'isso', 'eu', 'eles', 'outras']",100.0%,"Ele resgatou Deus, Pátria, família e liberdade e a gente tá isso daqui ó de fazer com que o Brasil continue crescendo e se torna uma nação que realmente merece o tamanho que ela tem."
deus,PROPN,96.2%,CCONJ | punct,0.1%,['né'],100.0%,"Mas uma experiência minha pessoal foi Deus ouvindo a minha oração no sentido de que, para o mundo, né, parece loucura, né, é essas orações sim."
deus,PROPN,96.2%,PRON | appos,0.1%,"['ele', 'o', 'naquilo', 'algo', 'alguém', 'você']",100.0%,"Deus, o que ele realiza na terra, ele usa pessoas para realizar."
deus,PROPN,96.2%,ADP | ROOT,0.1%,"['ó', 'graças', 'desse']",100.0%,"ó Deus, a uma unidade, uma unidade a Deus gerada por qualquer vontade política ou uma vontade religiosa, ou uma vontade individualizada de alguns, mas nós cremos, ó Deus, que essa unidade tem sido gerada no teu coração para que essa nação, em todas essas regiões, esteja, ó Deus, declarando a tua soberania."
deus,PROPN,96.2%,NOUN | nsubj:pass,0.1%,"['nome', 'oração', 'reino', 'planos', 'história', 'peça', 'amor', 'povo']",100.0%,"Ô, meu Pai, eu oro para que o Senhor, nessa live, fortaleça os nossos corações, nos leve a uma convicção clara que ainda há muito para acontecer em nossa nação, e vai acontecer, e vai acontecer, porque Deus planos para o Brasil não serão frustrados."
deus,PROPN,96.2%,SCONJ | cop,0.1%,"['és', 'é']",100.0%,"Confiamos em teu infinito amor, pois só tu és o Deus eterno sobre toda a terra e céus."
deus,PROPN,96.2%,PROPN | cop,0.1%,"['és', 'é']",100.0%,"Tu és o Deus desse país, tu és o senhor dos Senhores, o Deus que ree essa nação, o Deus que cria essa nação."
deus,PROPN,96.2%,PRON | ROOT,0.1%,"['tudo', 'aquilo', 'você', 'isso']",100.0%,"Aquilo que aos nossos olhos pode parecer impossível, mas, ó Deus, o Senhor, graças a Deus, Senhor, é o Deus do impossível."
deus,PROPN,96.2%,PROPN | ccomp,0.1%,"['deus', 'és', 'ó', 'abraão', 'senhor', 'música']",100.0%,"Agora, esse propósito de jejum e oração é para isso, Deus, nós nos rendemos a ti, nós declaramos que o senhor é o Deus dessa nação, que o senhor é o Deus do Brasil."
deus,PROPN,96.2%,AUX | ROOT,0.1%,"['foi', 'é', 'está', 'vamos', 'estou']",100.0%,Deus foi lá e aconteceu.
deus,PROPN,96.2%,PRON | obl,0.1%,"['nós', 'fique', 'isso', 'qual', 'ela', 'ti', 'eles', 'mim']",100.0%,"Sabe, ele disse que bendito seja Deus e paz nosso senhor Jesus Cristo, Deus de toda a Consolação, pai das misericórdias, que nos consolem nossas tribulações, para que nós possamos consolar os outros com a mesma Consolação com a qual de Deus temos sido consolados."
deus,PROPN,96.2%,VERB | cop,0.1%,"['é', 'tá', 'estaremos', 'estamos', 'seja', 'vai']",100.0%,"Eu aprendi que quando nós estamos diante de Deus, nós temos também que estar aberto para aquilo que Deus vai fazer."
deus,PROPN,96.2%,VERB | aux,0.1%,"['quiser', 'vai', 'teria', 'tava', 'tem']",100.0%,"Você me desculpa, mas se Deus quiser fazer só justiça e não misericórdia, vai sobrar para igreja também, porque a justiça de Deus é balança fiel e é por isso que quando os sacerdote se apresentavam diante de Deus para interceder pelo povo, seja Moisés e seja qualquer sacerdote, eles diziam:"
deus,PROPN,96.2%,PROPN | acl:relcl,0.1%,"['senhor', 'ó', 'cesa', 'forças-', 'trono', 'bíblia']",100.0%,"Em 2020, nós tínhamos uma medida provisória que dava ao estudante brasileiro o direito de ter essas carteirinhas ao preço de 15 centavos saindo lá do Ministério da Educação e que, infelizmente, sabe Deus por quais forças- porque foi tudo de maneira muito oculta- a medida provisória acabou caducando e a grande imprensa trouxe a notícia de que houve um acordo, um conluio entre o Partido Comunista do Brasil e, na época, o presidente da casa, que era Rodrigo Maia, para sepultar essa medida provisória que dava ao estudante o direito de ter a carteirinha gratuita."
deus,PROPN,96.2%,ADJ | advcl,0.1%,"['maravilhoso', 'conectada', 'poderoso', 'passado', 'querido', 'grato']",100.0%,"Mas Deus, ele é maravilhoso e ele muda as coisas, porque eu já entrei muitas vezes na oração para pedir a Deus algo e a oração terminou com Deus me pedindo algo, ou seja, ele mudou as coisas, eu fui pedir, é ele que me pediu e a única coisa que ele me pede é que eu o ame do fundo do meu coração, com toda minha força, com todo meu pensamento, com todas as minhas atitudes, com meu testemunho de vida, agradando a Deus acima de tudo, acima de todos."
deus,PROPN,96.2%,ADJ | parataxis,0.1%,"['poderoso', 'preciso', 'ansioso', 'atrelado', 'fiel', 'sozinho', 'dependente']",100.0%,"“Poxa, realmente é agora sim, eu estou sendo dependente de Deus”, sabe?"
deus,PROPN,96.2%,ADP | advmod,0.1%,"['ó', 'por']",100.0%,"ó Deus, venha ser derramado a tua chuva, aquela chuva serôdia temporária, aquela que não está programada, tá fora de tempo, mas o senhor é o senhor de todos os tempos, o senhor pode todas as coisas."
deus,PROPN,96.2%,PROPN | fixed,0.1%,['ó'],100.0%,"ó Deus, para que o Senhor, ó Deus, possa trazer, ó Deus, alívio, a paz que excede todo entendimento, de que, ó Deus, a nossa vida não é aqui, de que um dia nós estaremos, ó Deus, eternamente com o Senhor, sem lágrimas."
deus,PROPN,96.2%,INTJ | nsubj,0.1%,"['senhor', 'olha', 'tá']",100.0%,"Senhor, e agora, Deus, com todas as pessoas que estão aqui, sabe, com uma vela na mão, dizendo que nós somos luz dessa terra."
