;Religião;Atuação Política;Kairós;Família;Pátria;Esquerda;Verdade;Educação
UM ALERTA PRA IGREJA - Esquerda mirando as crianças;0,337;0,011;0,048;0,127;0,057;0,085;0,039;0,069
NIKOLAS E JB CARVALHO - 21 Dias de Oração pelo Brasil;0,336;0,019;0,077;0,074;0,091;0,049;0,024;0,010
PRONTO! QUEREM CANCELAR JESUS!;0,310;0,030;0,037;0,017;0,049;0,017;0,043;0,037
NIKOLAS, FERNANDA BRUM E SEITY KONNO - 21 Dias de Oração pelo Brasil;0,302;0,007;0,103;0,064;0,121;0,063;0,012;0,000
O que essa FEMINISTA fez, vai chegar no BRASIL…;0,302;0,000;0,055;0,049;0,072;0,041;0,023;0,080
NIKOLAS DETONA FLÁVIO DINO EM COMISSÃO;0,299;0,318;0,070;0,033;0,037;0,044;0,048;0,000
CARTA ABERTA AO PRESIDENTE BOLSONARO;0,285;0,096;0,024;0,032;0,137;0,081;0,013;0,000
21 dias de Jejum e oração pelo BRASIL;0,267;0,000;0,047;0,021;0,189;0,020;0,000;0,000
Cristofobia: Até onde vamos chegar?;0,267;0,000;0,126;0,035;0,069;0,041;0,050;0,000
O “adulto” Kalil não aguentou as verdades de um menino;0,246;0,000;0,042;0,148;0,014;0,017;0,053;0,021
Como a Igreja lidou com epidemias no passado?;0,239;0,010;0,103;0,014;0,056;0,015;0,029;0,000
Nikolas Ferreira - Por que a dor importa? (Palestra Completa);0,233;0,000;0,131;0,078;0,040;0,004;0,022;0,016
NIKOLAS ENQUADRA A ESQUERDA INTEIRA NA CPMI;0,232;0,138;0,092;0,000;0,000;0,047;0,035;0,000
FINANCIADOR DE GOLPE? NIKOLAS SAI EM DEFESA E EMOCIONA EMPRESÁRIO;0,199;0,022;0,060;0,041;0,032;0,243;0,009;0,000
NIKOLAS DEU EXPOSED NO PETISTA - AO VIVO!!!;0,197;0,180;0,098;0,026;0,040;0,100;0,015;0,000
Europa: o que não te contaram;0,191;0,012;0,076;0,076;0,076;0,012;0,075;0,053
NIKOLAS FALOU E A COMUNISTA TEVE QUE OUVIR;0,189;0,149;0,040;0,030;0,026;0,000;0,112;0,000
CORONEL GOLPISTA? FIZ MINHAS PERGUNTAS;0,186;0,166;0,101;0,028;0,010;0,083;0,046;0,000
DESMASCARANDO DOIS ESQUERDISTAS NUM DIA;0,176;0,186;0,029;0,033;0,053;0,046;0,078;0,032
NIKOLAS JOGA A REAL NA CARA DO HADDAD;0,151;0,497;0,042;0,000;0,041;0,035;0,154;0,000
Presidente entrou na live e mandou um último recado!!!!;0,148;0,046;0,039;0,000;0,184;0,000;0,026;0,000
CORONEL PRESO, TRAFICANTE SOLTO;0,145;0,052;0,081;0,093;0,040;0,039;0,032;0,000
Cristão? Vamos pôr um fim nessa palhaçada - Parte 4;0,144;0,000;0,021;0,136;0,062;0,000;0,000;0,000
NIKOLAS SAI EM DEFESA DOS CRISTÃOS;0,142;0,024;0,000;0,000;0,033;0,000;0,023;0,000
NOSSO TRABALHO EM 2023 - RETROSPECTIVA;0,141;0,211;0,039;0,017;0,058;0,095;0,018;0,026
Por que estão me atacando tanto?;0,140;0,162;0,056;0,014;0,085;0,013;0,067;0,000
A MINORIA DA MINORIA;0,132;0,039;0,083;0,036;0,000;0,059;0,067;0,000
SESSÃO DE PANCADAS DO NIKOLAS EM ESQUERDA NA CÂMARA;0,132;0,233;0,072;0,027;0,048;0,031;0,088;0,000
REVELADO QUEM ERA O “CAVALO TARADO” - REACT;0,131;0,000;0,015;0,129;0,038;0,051;0,038;0,000
Olha o que o KALIL falou sobre LULA;0,130;0,040;0,058;0,000;0,065;0,148;0,049;0,000
O último vídeo - Deus abençoe o Brasil;0,128;0,091;0,050;0,032;0,135;0,122;0,050;0,000
Cristão na Ucrânia: a história não contada;0,124;0,000;0,135;0,071;0,083;0,012;0,013;0,018
Hoje é meu aniversário e tenho UM PEDIDO;0,124;0,000;0,084;0,000;0,067;0,000;0,136;0,000
A perseguição chegou… na minha igreja.;0,121;0,000;0,000;0,153;0,028;0,039;0,031;0,000
PICHAÇÃO, RACISMO E GENERAL NA CPMI - AS TRETAS DA SEMANA;0,117;0,058;0,064;0,104;0,006;0,038;0,012;0,000
NIKOLAS SAI EM DEFESA DE FREI GILSON E CATÓLICOS;0,114;0,015;0,087;0,015;0,127;0,031;0,042;0,000
Datena se emociona - Entrevista com Nikolas Ferreira;0,114;0,034;0,093;0,033;0,077;0,006;0,043;0,016
A pergunta que TODOS queriam fazer pro HADDAD 😂😂😂;0,110;0,000;0,052;0,000;0,000;0,000;0,044;0,000
Juíz autoriza MATAR criança de 6 MESES!!!;0,109;0,000;0,046;0,276;0,040;0,011;0,026;0,000
Seja inconformado;0,108;0,000;0,000;0,000;0,200;0,000;0,000;0,000
NIKOLAS FAZ DISCURSO EMOCIONANTE CONTRA ABORTO;0,107;0,074;0,087;0,267;0,109;0,022;0,010;0,000
DIA 25/02 - SERÁ GIGANTE;0,104;0,112;0,159;0,113;0,313;0,056;0,000;0,000
NIKOLAS MANDA A REAL SOBRE SEGURANÇA PÚBLICA NA CARA DE MINISTRO DO LULA;0,102;0,098;0,039;0,061;0,115;0,039;0,030;0,013
NIKOLAS FAZ PREVISÃO PARA 2026;0,097;0,137;0,048;0,015;0,106;0,047;0,039;0,022
Europa, Neymar e política - um pouco de tudo;0,094;0,063;0,057;0,043;0,044;0,026;0,049;0,029
Meu último discurso;0,094;0,026;0,075;0,081;0,000;0,009;0,015;0,052
20º SEMINÁRIO LGTVQI+ NA CÂMARA;0,093;0,029;0,057;0,044;0,036;0,094;0,028;0,146
A Esquerda - Parte 1;0,093;0,000;0,027;0,035;0,000;0,149;0,000;0,000
Meu último recado;0,092;0,080;0,118;0,020;0,017;0,000;0,000;0,026
O JOVEM CONSERVADOR E A POLÍTICA;0,092;0,019;0,032;0,046;0,038;0,041;0,064;0,131
AOS CRISTÃOS DE TODO BRASIL - E AOS FALSOS TAMBÉM;0,092;0,022;0,068;0,072;0,144;0,000;0,150;0,000
Bolsonaro é Nikolas em BH;0,091;0,000;0,000;0,000;0,147;0,101;0,000;0,000
A INTOLERÂNCIA DOS “TOLERANTES”;0,090;0,018;0,038;0,016;0,114;0,016;0,016;0,063
NIKOLAS DÁ SHOW EM PRIMEIRA ENTREVISTA COMO PRESIDENTE;0,089;0,290;0,037;0,048;0,038;0,047;0,080;0,484
O que é ser um conservador?;0,089;0,011;0,057;0,112;0,011;0,040;0,087;0,000
CASSAÇÃO DO DEPUTADO DO PSOL - NIKOLAS MANDOU A REAL PRA ESQUERDA;0,089;0,137;0,105;0,083;0,009;0,067;0,051;0,000
Deus está com o celular na mão.;0,086;0,000;0,080;0,030;0,000;0,000;0,058;0,000
Nikolas Ferreira - Comissão de Educação 13/03/2024;0,086;0,401;0,084;0,049;0,053;0,012;0,066;0,346
NIKOLAS METEU A REAL E ESQUERDA DÁ PITI EM PLENÁRIO;0,085;0,470;0,047;0,000;0,041;0,036;0,000;0,000
“Nikolas já ganhou, vota em mim” - NÃO CAIA NESSA;0,083;0,124;0,049;0,018;0,031;0,047;0,030;0,000
Como Gramsci dominou o Brasil?;0,083;0,000;0,047;0,043;0,021;0,024;0,031;0,025
Deixa Deus te dar um golpe.;0,082;0,000;0,048;0,000;0,000;0,000;0,000;0,000
Fui parado por um esquerdista. Olha no que deu...;0,080;0,000;0,039;0,000;0,076;0,000;0,023;0,000
NIKOLAS FAZ DISCURSO FORTE PARA O MUNDO;0,080;0,095;0,038;0,075;0,312;0,077;0,041;0,038
ESSA CRIANÇA DEVERIA SER ABORTADA?;0,079;0,021;0,078;0,194;0,074;0,000;0,044;0,030
O DISCURSO MAIS FORTE DA MINHA VIDA;0,078;0,070;0,068;0,055;0,058;0,059;0,068;0,000
Meu primeiro discurso. O recado está dado.;0,076;0,064;0,129;0,166;0,000;0,000;0,154;0,048
MANDANDO A REAL SOBRE A REFORMA;0,076;0,148;0,090;0,019;0,033;0,058;0,016;0,000
A PRISAO DO BOLSONARO E OQ NAO TE CONTARAM;0,074;0,122;0,101;0,055;0,080;0,009;0,038;0,000
ARREBENTOU!!! DISCURSO DE NIKOLAS CHOCA A PAULISTA;0,074;0,207;0,094;0,064;0,185;0,123;0,000;0,000
Os jovens estão com o LULA?;0,073;0,044;0,028;0,060;0,041;0,123;0,049;0,000
NIKOLAS DEIXA PRESIDÊNCIA E FAZ FORTE DISCURSO;0,072;0,334;0,081;0,025;0,049;0,012;0,055;0,125
PT PEDE MINHA CONDENAÇÃO E CASSAÇÃO;0,072;0,106;0,123;0,055;0,085;0,195;0,030;0,000
NIKOLAS FERREIRA - Comissão de Educação 12/06/2024;0,061;0,261;0,093;0,038;0,054;0,018;0,032;0,323
EP 08 - JUPIRA: MORT4-VIVA;0,070;0,053;0,133;0,023;0,017;0,013;0,028;0,000
NIKOLAS MANDOU A REAL NA CPMI;0,069;0,219;0,058;0,000;0,040;0,046;0,034;0,000
Eu tenho uma VAROA?;0,069;0,000;0,000;0,000;0,000;0,111;0,000;0,067
NIKOLAS DESTRÓI LULA E SAI EM DEFESA DE ISRAEL;0,069;0,146;0,083;0,017;0,039;0,299;0,055;0,000
EP 09 - SANDRA: A FÉ PARA FICAR DE PÉ;0,068;0,000;0,132;0,073;0,061;0,011;0,008;0,000
Inacreditável!!! Perseguição gayzista a todo vapor.;0,067;0,000;0,000;0,148;0,016;0,000;0,045;0,146
O BRASIL VAI PARAR;0,067;0,302;0,071;0,043;0,121;0,166;0,063;0,000
Compartilhe para destruir essa estratégia da esquerda;0,066;0,000;0,000;0,101;0,000;0,000;0,000;0,000
Explicando o óbvio;0,066;0,023;0,040;0,066;0,000;0,000;0,000;0,000
Priscilla Alcântara? Eu avisei.;0,066;0,000;0,025;0,032;0,018;0,000;0,008;0,000
NIKOLAS VAI PRA CIMA DA ESQUERDA E É APLAUDIDO;0,065;0,067;0,175;0,036;0,074;0,018;0,083;0,015
FALANDO A VERDADE SOBRE O PM DA ROTA MORTO;0,064;0,128;0,116;0,129;0,069;0,000;0,000;0,032
NIKOLAS REVELA A OMISSÃO DE DINO EM CPMI;0,063;0,110;0,199;0,000;0,007;0,018;0,059;0,000
Vencemos! Respeitem os cristãos.;0,060;0,073;0,020;0,051;0,000;0,000;0,000;0,000
Nikolas por Ruth: minha mãe.;0,060;0,000;0,096;0,068;0,024;0,000;0,000;0,000
Isso já aconteceu com você?! Você está convocado!;0,060;0,000;0,155;0,000;0,000;0,000;0,000;0,000
FUI CONDENADO! VEJA POR QUAL MOTIVO…;0,060;0,030;0,040;0,061;0,025;0,147;0,134;0,027
NIKOLAS FERREIRA - Comissão de Educação 03/07/2024;0,060;0,301;0,053;0,094;0,047;0,028;0,050;0,280
EP 02 - JORGINHO: PRESO PELA ESPERANÇA;0,059;0,023;0,155;0,098;0,000;0,000;0,016;0,000
Nikolas Ferreira - Comissão de Educação 20/03/2024;0,058;0,340;0,082;0,059;0,040;0,042;0,043;0,282
Como é ser conservador em uma universidade?;0,000;0,000;0,027;0,014;0,029;0,000;0,044;0,192
Converti uma esquerdista!!! (Ao vivo);0,057;0,017;0,033;0,061;0,095;0,036;0,043;0,028
Afinal, qual a solução contra a esquerda?;0,057;0,013;0,062;0,012;0,011;0,034;0,021;0,037
Mais uma conta derrubada. Por quê? Assista…;0,056;0,000;0,000;0,000;0,060;0,000;0,067;0,000
Anitta, Marília Transfóbica (?) e a Lacrosfera;0,055;0,034;0,023;0,079;0,092;0,036;0,034;0,008
NIKOLAS DÁ XEQUE MATE EM MINISTRO DO INSS;0,055;0,178;0,014;0,006;0,038;0,097;0,052;0,000
NIKOLAS ENQUADRA MINISTRO DA EDUCAÇÃO;0,053;0,072;0,106;0,021;0,027;0,117;0,059;0,351
NIKOLAS FERREIRA - Comissão de Educação 22/05/2024;0,053;0,266;0,051;0,049;0,039;0,027;0,030;0,281
Justin Bieber e a empresa de… Maconha;0,052;0,000;0,044;0,000;0,000;0,000;0,039;0,000
CHÁ REVELAÇÃO, LUA DE MEL E CPMI - NIKOLAS REACT;0,052;0,103;0,079;0,058;0,031;0,115;0,027;0,037
Marcha para Satanás 2020;0,051;0,000;0,034;0,000;0,017;0,000;0,109;0,000
Bolsonaro no FLOW - esquerda em desespero;0,051;0,218;0,022;0,033;0,034;0,112;0,047;0,000
NIKOLAS EXPÕE PASTOR FAKE E JANDIRA NA CPMI;0,050;0,197;0,064;0,022;0,068;0,038;0,027;0,000
OBRIGADO, ELON 👍🏻;0,050;0,114;0,100;0,000;0,263;0,038;0,094;0,000
Fim do Uber em BH?;0,050;0,000;0,028;0,023;0,019;0,026;0,043;0,000
REVELADO O ESQUEMA DE MORAES NO TSE;0,049;0,285;0,035;0,000;0,108;0,012;0,032;0,000
E agora?;0,049;0,127;0,091;0,014;0,082;0,079;0,065;0,039
NIKOLAS SE EMOCIONA AO FALAR DE SUA FAMÍLIA;0,048;0,066;0,107;0,062;0,152;0,044;0,040;0,010
UM CONVITE AO EXTREMISMO;0,048;0,026;0,056;0,074;0,023;0,014;0,032;0,085
BOLSONARO RÉU - E AGORA?;0,048;0,185;0,096;0,025;0,078;0,101;0,020;0,000
Bate-papo com Olavo de Carvalho;0,048;0,019;0,075;0,018;0,077;0,073;0,010;0,112
NIKOLAS FERREIRA - Comissão de Educação 05/06/2024;0,048;0,449;0,086;0,012;0,040;0,037;0,044;0,249
Ditadura NÃO!;0,047;0,000;0,039;0,000;0,126;0,203;0,000;0,000
DESABAFOU PRA MILHÕES DE BRASILEIROS;0,046;0,091;0,036;0,072;0,124;0,072;0,061;0,000
PROVANDO QUE A MÍDIA MENTE… e muito.;0,046;0,134;0,021;0,000;0,030;0,000;0,031;0,000
Minha opinião sobre a menina de 10 anos;0,046;0,018;0,057;0,242;0,025;0,032;0,060;0,000
Desmascarando Vereadora do PSOL em minutos;0,046;0,039;0,068;0,091;0,027;0,041;0,028;0,000
Antifas, Floyd e como devemos agir;0,046;0,016;0,035;0,073;0,086;0,036;0,046;0,048
Dória: O MENTIROSO;0,046;0,180;0,116;0,015;0,070;0,030;0,089;0,000
Porque me odeiam? Veja até o final.;0,045;0,048;0,051;0,013;0,031;0,012;0,020;0,056
Derrubaram minhas contas… tudo pela DEMOCRACIA 🙌🏻;0,045;0,030;0,051;0,014;0,020;0,017;0,043;0,000
Começaram a depositar no meu PIX 😱;0,045;0,000;0,000;0,046;0,000;0,000;0,046;0,000
CORAJOSO!! PAI DENUNCIA DOUTRINAÇÃO EM SALA DE AULA 🫡👏🏻👏🏻;0,045;0,026;0,019;0,235;0,037;0,012;0,030;0,367
Nikolas Ferreira - CPAC 2024 / Efeito Borboleta;0,045;0,063;0,136;0,026;0,072;0,023;0,034;0,015
LANCEI MEU PRIMEIRO LIVRO;0,044;0,000;0,078;0,025;0,018;0,000;0,020;0,068
NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO;0,044;0,083;0,105;0,075;0,129;0,137;0,005;0,008
NIKOLAS VIAJOU EM JATINHO DE VORCARO EM 2022? ;0,044;0,096;0,064;0,048;0,029;0,066;0,010;0,000
DESMENTINDO O FELIPE NETO;0,043;0,092;0,052;0,069;0,174;0,200;0,039;0,000
Deputado mais votado do Brasil e de Minas. Agora é outra missão!;0,043;0,196;0,067;0,015;0,060;0,060;0,000;0,043
DINO FALTA EM COMISSÃO E DEPUTADOS SOLTAM O VERBO;0,043;0,321;0,081;0,000;0,033;0,042;0,046;0,000
A hipocrisia SURREAL do Kalil e Dória;0,043;0,056;0,018;0,070;0,027;0,012;0,041;0,000
NIKOLAS FOI PRA CIMA DA RELATORA NA CPMI;0,043;0,084;0,153;0,032;0,047;0,017;0,042;0,000
DINO NO STF: QUEM É ELE E O QUE FAZER?;0,043;0,071;0,024;0,000;0,042;0,105;0,000;0,000
NIKOLAS PAROU O PLENÁRIO AO FALAR DO GOLPE;0,042;0,115;0,068;0,027;0,045;0,126;0,000;0,000
Nikolas Ferreira - Comissão de Educação 27/03/2024;0,041;0,376;0,074;0,047;0,036;0,022;0,050;0,277
Querem cancelar o NATAL;0,041;0,000;0,000;0,000;0,076;0,072;0,073;0,000
OFICIAL: A BÍBLIA ESTÁ CRIMINALIZADA NO BRASIL;0,040;0,057;0,038;0,060;0,015;0,084;0,016;0,088
COINCIDÊNCIAS DE BARROSO;0,040;0,111;0,036;0,000;0,146;0,039;0,000;0,000
A mídia mentiu, mas eu estava lá…;0,039;0,237;0,038;0,099;0,025;0,016;0,122;0,000
Fui chamado de BABACA no plenário…;0,039;0,052;0,011;0,106;0,036;0,067;0,036;0,000
 A MELHOR ENTREVISTA DA CAMINHADA ATÉ AGORA ;0,039;0,086;0,041;0,036;0,051;0,019;0,034;0,028
Nikolas Ferreira - Comissão de Educação - 11/12/2024;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Os possíveis ministros do… Lula.;0,039;0,050;0,034;0,013;0,010;0,218;0,023;0,020
CAI MINISTRO DO LULA  - A VERDADE DO DIA 08;0,038;0,237;0,032;0,036;0,042;0,165;0,000;0,000
MELHORES MOMENTOS - Nikolas Ferreira na Rádio Super (06/07/22);0,038;0,000;0,035;0,032;0,026;0,161;0,119;0,056
NIKOLAS FALA NA CARA DO JANONES TUDO QUE QUERÍAMOS FALAR;0,038;0,159;0,107;0,018;0,044;0,012;0,025;0,000
O DISCURSO MAIS FORTE DO DIA 07 DE SETEMBRO;0,038;0,113;0,062;0,014;0,170;0,199;0,011;0,000
Dia MARIELLE em BH? Aqui não.;0,038;0,036;0,035;0,020;0,000;0,000;0,000;0,000
FALOU AO VIVO O SENTIMENTO DE MILHÕES DE BRASILEIROS;0,038;0,037;0,017;0,000;0,028;0,037;0,081;0,000
QUEREM CASSAR MEU MANDATO PORQUE…;0,038;0,140;0,091;0,019;0,232;0,085;0,016;0,014
Estou sendo censurado;0,038;0,008;0,042;0,067;0,035;0,018;0,026;0,012
MELHORES MOMENTOS - Nikolas Ferreira no Pânico - 28/10/21;0,036;0,076;0,069;0,048;0,019;0,027;0,044;0,016
Querem me matar. Por quê?;0,036;0,021;0,036;0,051;0,024;0,000;0,063;0,052
MISSÃO EL SALVADOR - DE FRENTE COM OS MAIORES BANDIDOS DO MUNDO ;0,035;0,023;0,068;0,048;0,121;0,018;0,028;0,016
DISCURSO HISTÓRICO- NIKOLAS ATROPELA ESQUERDA NA CPMI;0,035;0,131;0,073;0,007;0,023;0,021;0,065;0,000
ESQUERDA FICOU CALADA PRA OUVIR NIKOLAS;0,035;0,207;0,074;0,173;0,088;0,086;0,027;0,000
 A maior FAXINA da história do RJ;0,035;0,011;0,011;0,059;0,136;0,062;0,039;0,000
Debate - Nikolas Ferreira x Boulos MELHORES MOMENTOS;0,034;0,143;0,027;0,041;0,091;0,080;0,039;0,016
NIKOLAS DESABAFA APÓS PRISÃO DE BOLSONARO;0,033;0,089;0,060;0,174;0,113;0,000;0,028;0,000
ENTENDA TUDO SOBRE O CURSO! Até 23:59;0,033;0,004;0,102;0,034;0,020;0,010;0,026;0,127
DISCURSO ÉPICO DE NIKOLAS NA PAULISTA;0,033;0,068;0,117;0,113;0,275;0,153;0,000;0,000
E agora? Meu vídeo mais importante…;0,032;0,033;0,025;0,056;0,046;0,046;0,017;0,049
PLENÁRIO SE EMOCIONA COM NIKOLAS;0,032;0,269;0,076;0,056;0,160;0,077;0,000;0,000
O BRASIL É INTANKÁVEL;0,031;0,054;0,017;0,057;0,070;0,089;0,055;0,000
Fogo no Nikolas? Vereadora do PSOL não conseguiu explicar;0,031;0,010;0,017;0,062;0,017;0,011;0,053;0,000
Meu primeiro dia de trabalho;0,031;0,000;0,051;0,127;0,079;0,000;0,000;0,087
O QUE NÃO TE CONTARAM SOBRE A JANJA;0,030;0,010;0,025;0,075;0,032;0,202;0,000;0,000
Casos da Universidade (Chamei polícia para professora Feminista);0,030;0,000;0,026;0,023;0,007;0,042;0,013;0,057
Quem é a justiça brasileira?;0,030;0,107;0,017;0,000;0,019;0,080;0,000;0,000
NIKOLAS ATROPELA JORNALISTA MILITANTE;0,030;0,127;0,069;0,060;0,124;0,014;0,084;0,021
NÃO FOI NA ONU - DESMASCARADO;0,029;0,029;0,088;0,000;0,000;0,029;0,147;0,000
Felipe Neto, geração descartável e o sentido da vida;0,029;0,000;0,071;0,232;0,013;0,107;0,019;0,000
Eu, Senador?!;0,029;0,000;0,137;0,048;0,040;0,253;0,077;0,041
NIKOLAS MANDOU A REAL SOBRE “ANISTIA” E É APROVADA NA MADRUGADA;0,029;0,154;0,079;0,110;0,071;0,036;0,035;0,000
Ele controla tudo o que você assiste [URGENTE]- Parte 3;0,029;0,000;0,030;0,128;0,000;0,000;0,033;0,089
IMAGENS SUMIRAM, DINO EXPLICA - REACT;0,029;0,073;0,082;0,025;0,000;0,070;0,053;0,000
NIKOLAS MANDA DURO RECADO AO MINISTRO;0,029;0,132;0,064;0,096;0,012;0,014;0,023;0,000
MINISTRO DO ITAMARATY TEVE DE FICAR CALADO;0,029;0,218;0,031;0,035;0,106;0,139;0,061;0,000
O DISCURSO MAIS PESADO E EMOCIONANTE NA PAULISTA;0,028;0,135;0,115;0,084;0,235;0,030;0,024;0,000
